"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry",
"CEPU","Central Puerto S.A.","10.08","1526134428","n/a","2018","Public Utilities","Electric Utilities: Central",
"CCS","Century Communities, Inc.","21.62","665896000","n/a","2014","Capital Goods","Homebuilding",
"CTL","CenturyLink, Inc.","14.99","16199082457.3","n/a","n/a","Public Utilities","Telecommunications Equipment",
"CDAY","Ceridian HCM Holding Inc.","39.4","5348334048.6","n/a","2018","Technology","Computer Software: Prepackaged Software",
"CF","CF Industries Holdings, Inc.","42.55","9820176665.55","n/a","2005","Basic Industries","Agricultural Chemicals",
"GIB","CGI Group, Inc.","65.44","16135698444.96","n/a","n/a","Consumer Services","Professional Services",
"ECOM","ChannelAdvisor Corporation","10.96","299342468.24","n/a","2013","Technology","Computer Software: Prepackaged Software",
"CHAP","Chaparral Energy, Inc.","7.99","371189855.97","n/a","n/a","Energy","Oil & Gas Production",
"CHRA","Charah Solutions, Inc.","7.31","212596642.28","n/a","2018","Basic Industries","Environmental Services",
"CRL","Charles River Laboratories International, Inc.","118.76","5711930839.2","n/a","2000","Health Care","Biotechnology: Commercial Physical & Biological Resarch",
"CLDT","Chatham Lodging Trust (REIT)","19.66","914509966.5","n/a","2010","Consumer Services","Real Estate Investment Trusts",
"CMCM","Cheetah Mobile Inc.","6.77","970373339.63","n/a","2014","Technology","Computer Software: Prepackaged Software",
"CHGG","Chegg, Inc.","34.64","3980051686.24","n/a","2013","Consumer Services","Other Consumer Services",
"CHE","Chemed Corp.","291.29","4664238596.66","n/a","n/a","Health Care","Medical/Nursing Services",
"CC","Chemours Company (The)","35.73","6112859868.27","n/a","2015","Basic Industries","Major Chemicals",
"CHMI","Cherry Hill Mortgage Investment Corporation","18.63","301612583.34","n/a","2013","Consumer Services","Real Estate Investment Trusts",
"CHK","Chesapeake Energy Corporation","2.78","2540129123.36","n/a","n/a","Energy","Oil & Gas Production",
"CHKR","Chesapeake Granite Wash Trust","1.35","63112500","n/a","2011","Energy","Oil & Gas Production",
"CHSP","Chesapeake Lodging Trust","27.3","1648750494.3","n/a","2010","Consumer Services","Real Estate Investment Trusts",
"CPK","Chesapeake Utilities Corporation","89.23","1461457570.35","n/a","n/a","Public Utilities","Oil & Gas Production",
"CVX","Chevron Corporation","113.22","216337874058.18","n/a","n/a","Energy","Integrated oil Companies",
"CHS","Chico&#39;s FAS, Inc.","6.06","761952348.66","n/a","n/a","Consumer Services","Clothing/Shoe/Accessory Stores",
"CIM","Chimera Investment Corporation","18.91","3537160846.18","n/a","2007","Consumer Services","Real Estate Investment Trusts",
"DL","China Distance Education Holdings Limited","6.9","229900272","n/a","n/a","Consumer Services","Other Consumer Services",
"CEA","China Eastern Airlines Corporation Ltd.","30.31","8770250421.03","n/a","1997","Transportation","Air Freight/Delivery Services",
"CHN","China Fund, Inc. (The)","18.86","296529650.5","n/a","n/a","n/a","n/a",
"CGA","China Green Agriculture, Inc.","0.6","23338167","n/a","n/a","Basic Industries","Agricultural Chemicals",
"LFC","China Life Insurance Company Limited","12.52","70774821320","n/a","2003","Finance","Life Insurance",
"CHL","China Mobile (Hong Kong) Ltd.","51.76","211962198929.04","n/a","n/a","Public Utilities","Telecommunications Equipment",
"BORN","China New Borun Corporation","0.75","19293750","n/a","2010","Consumer Non-Durables","Beverages (Production/Distribution)",
"COE","China Online Education Group","7.6","153375220","n/a","2016","Consumer Services","Other Consumer Services",
"SNP","China Petroleum & Chemical Corporation","80.85","97886072961.6","n/a","n/a","Energy","Integrated oil Companies",
"XRF","China Rapid Finance Limited","1.28","84171788.8","n/a","2017","Finance","Finance: Consumer Services",
"ZNH","China Southern Airlines Company Limited","34.81","8540405320.45","n/a","1997","Transportation","Air Freight/Delivery Services",
"CHA","China Telecom Corp Ltd","55.39","44828234800","n/a","2002","Public Utilities","Telecommunications Equipment",
"CHU","China Unicom (Hong Kong) Ltd","11.64","35616072000","n/a","n/a","Public Utilities","Telecommunications Equipment",
"CYD","China Yuchai International Limited","15.88","648829661.08","n/a","1994","Energy","Industrial Machinery/Components",
"CMG","Chipotle Mexican Grill, Inc.","543.37","15098785201","n/a","2006","Consumer Services","Restaurants",
"CHH","Choice Hotels International, Inc.","75.91","4249505412.58","n/a","n/a","Consumer Services","Hotels/Resorts",
"CBK","Christopher & Banks Corporation","0.5989","23025238.7298","n/a","n/a","Consumer Services","Clothing/Shoe/Accessory Stores",
"CB","Chubb Limited","132.29","60959942661.88","n/a","n/a","Finance","Property-Casualty Insurers",
"CHT","Chunghwa Telecom Co., Ltd.","34.58","26825251726","n/a","n/a","Public Utilities","Telecommunications Equipment",
"CHD","Church & Dwight Company, Inc.","63.59","15657938283.26","n/a","n/a","Basic Industries","Package Goods/Cosmetics",
"CCC","Churchill Capital Corp","10.3995","896956875","n/a","2018","Finance","Business Services",
"CIEN","Ciena Corporation","39.96","6253013607.12","n/a","1997","Public Utilities","Telecommunications Equipment",
"CI","Cigna Corporation","196.28","74739064424.92","n/a","n/a","Health Care","Medical Specialities",
"XEC","Cimarex Energy Co","75.7","7248764022","n/a","n/a","Energy","Oil & Gas Production",
"CBB","Cincinnati Bell Inc","8.35","418887586.3","n/a","n/a","Public Utilities","Telecommunications Equipment",
"CNK","Cinemark Holdings Inc","39.93","4664761795.98","n/a","2007","Consumer Services","Movies/Entertainment",
"CINR","Ciner Resources LP","22.995","454362918.975","n/a","2013","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)",
"CIR","CIRCOR International, Inc.","26.31","522083353.23","n/a","n/a","Capital Goods","Metal Fabrications",
"CISN","Cision Ltd.","12.69","1751392012.95","n/a","2017","Technology","Computer Software: Prepackaged Software",
"CIT","CIT Group Inc (DEL)","44.25","4672480249.5","n/a","n/a","Finance","Major Banks",
"BLW","Citigroup Inc.","14.07","515477187.12","n/a","2003","Finance","Major Banks",
"C","Citigroup Inc.","64.02","151631370000","n/a","n/a","Finance","Major Banks",
"CFG","Citizens Financial Group, Inc.","35.44","16515322952.96","n/a","2014","Finance","Major Banks",
"CIA","Citizens, Inc.","7.2","360589161.6","n/a","n/a","Finance","Life Insurance",
"CIO","City Office REIT, Inc.","11.23","444079939.79","n/a","2014","Consumer Services","Real Estate Investment Trusts",
"CVEO","Civeo Corporation","2.32","389691863.92","n/a","2014","Consumer Services","Hotels/Resorts",
"CIVI","Civitas Solutions, Inc.","17.66","641178918.02","n/a","2014","Health Care","Medical/Nursing Services",
"CLH","Clean Harbors, Inc.","58.54","3278561150.44","n/a","n/a","Basic Industries","Environmental Services",
"CCO","Clear Channel Outdoor Holdings, Inc.","5.48","2002464862.08","n/a","2005","Consumer Services","Advertising",
"EMO","ClearBridge Energy Midstream Opportunity Fund Inc.","9.31","667657218.97","n/a","2011","n/a","n/a",
"CEM","ClearBridge MLP and Midstream Fund Inc.","12.23","861174985.26","n/a","2010","n/a","n/a",
"CTR","ClearBridge MLP and Midstream Total Return Fund In","9.39","360577333.38","n/a","2012","n/a","n/a",
"CLW","Clearwater Paper Corporation","33.5","551447486.5","n/a","n/a","Basic Industries","Paper",
"CWEN","Clearway Energy, Inc.","15.14","2924313800.84","n/a","2015","Public Utilities","Electric Utilities: Central",
"CLF","Cleveland-Cliffs Inc.","9.61","2863957218.01","n/a","n/a","Basic Industries","Precious Metals",
"CLPR","Clipper Realty Inc.","13.23","235662748.65","n/a","2017","Consumer Services","Real Estate Investment Trusts",
"CLX","Clorox Company (The)","147.69","18852938205.93","n/a","n/a","Consumer Durables","Specialty Chemicals",
"CLD","Cloud Peak Energy Inc","0.4073","30864455.1578","n/a","2009","Energy","Coal Mining",
"CLDR","Cloudera, Inc.","13.38","3525854569.92","n/a","2017","Technology","Computer Software: Prepackaged Software",
"CMS","CMS Energy Corporation","50.81","14396069246.96","n/a","n/a","Public Utilities","Power Generation",
"CMSA","CMS Energy Corporation","24.93","0","n/a","2018","Public Utilities","Power Generation",
"CMSC","CMS Energy Corporation","25.06","0","n/a","2018","Public Utilities","Power Generation",
"CNA","CNA Financial Corporation","45.04","12224338558.56","n/a","n/a","Finance","Property-Casualty Insurers",
"CNF","CNFinance Holdings Limited","6.54","444861931.08","n/a","2018","Finance","Finance: Consumer Services",
"CNHI","CNH Industrial N.V.","10.22","13836007021.48","n/a","2013","Capital Goods","Construction/Ag Equipment/Trucks",
"CNO","CNO Financial Group, Inc.","17.68","2911000773.2","n/a","n/a","Finance","Accident &Health Insurance",
"CEO","CNOOC Limited","166.47","1762770306.99","n/a","2001","Energy","Oil & Gas Production",
"CNXM","CNX Midstream Partners LP","17.08","1086965683.16","n/a","2014","Public Utilities","Natural Gas Distribution",
"CEIX","CNX Resources Corporation","34.7","963896808.2","n/a","2017","Energy","Coal Mining",
"CNX","CNX Resources Corporation","13.19","2685481493.9","n/a","1999","Energy","Oil & Gas Production",
"KOF","Coca Cola Femsa S.A.B. de C.V.","63.86","13415708800","n/a","1993","Consumer Non-Durables","Beverages (Production/Distribution)",
"KO","Coca-Cola Company (The)","47.37","201631063348.26","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)",
"CCEP","Coca-Cola European Partners plc","45.08","21409396575.28","n/a","2016","Consumer Non-Durables","Beverages (Production/Distribution)",
"CDE","Coeur Mining, Inc.","4.67","949285428.37","n/a","n/a","Basic Industries","Precious Metals",
"FOF","Cohen & Steers Closed-End Opportunity Fund, Inc.","11.93","324605135.64","n/a","2006","n/a","n/a",
"INB","Cohen & Steers Global Income Builder, Inc.","8.03","185830806.04","n/a","2007","n/a","n/a",
"CNS","Cohen & Steers Inc","37.07","1733573174.85","n/a","2004","Finance","Investment Managers",
"UTF","Cohen & Steers Infrastructure Fund, Inc","22.63","1930786938.22","n/a","2004","n/a","n/a",
"LDP","Cohen & Steers Limited Duration Preferred and Income Fund, Inc","23.11","666606309.19","n/a","2012","n/a","n/a",
"MIE","Cohen & Steers MLP Income and Energy Opportunity Fund, Inc.","8.86","237388992.4","n/a","2013","n/a","n/a",
"RQI","Cohen & Steers Quality Income Realty Fund Inc","11.4","1244439982.8","n/a","2002","n/a","n/a",
"RNP","Cohen & Steers Reit and Preferred Income Fund Inc","18.89","898535643.04","n/a","2003","n/a","n/a",
"PSF","Cohen & Steers Select Preferred and Income Fund, Inc.","25.85","310170014","n/a","2010","n/a","n/a",
"RFI","Cohen & Steers Total Return Realty Fund, Inc.","12.07","315534434.87","n/a","1993","n/a","n/a",
"CFX","Colfax Corporation","24.69","2895525107.73","n/a","2008","Capital Goods","Fluid Controls",
"CFXA","Colfax Corporation","115.25","0","n/a","n/a","Capital Goods","Fluid Controls",
"CL","Colgate-Palmolive Company","61.84","53635063790.96","n/a","n/a","Consumer Non-Durables","Package Goods/Cosmetics",
"CCH","Collier Creek Holdings","9.7","115187500","n/a","2018","Finance","Business Services",
"CXE","Colonial High Income Municipal Trust","4.91","154724440.46","n/a","1989","n/a","n/a",
"CIF","Colonial Intermediate High Income Fund","2.28","44921339.76","n/a","n/a","n/a","n/a",
"CXH","Colonial Investment Grade Municipal Trust","9.3","84725278.5","n/a","1989","n/a","n/a",
"CMU","Colonial Municipal Income Trust","4.46","126309813.56","n/a","1987","n/a","n/a",
"CLNY","Colony Capital, Inc.","5.61","2754764525.7","n/a","2014","Consumer Services","Real Estate Investment Trusts",
"CLNC","Colony Credit Real Estate, Inc.","15.76","2015495904.96","n/a","2018","Consumer Services","Real Estate Investment Trusts",
"CXP","Columbia Property Trust, Inc.","21.22","2503624617.9","n/a","2013","Consumer Services","Real Estate Investment Trusts",
"STK","Columbia Seligman Premium Technology Growth Fund, Inc","18.85","294597243.85","n/a","2009","n/a","n/a",
"CCZ","Comcast Corporation","48.8","0","n/a","n/a","Consumer Services","Television Services",
"CMA","Comerica Incorporated","82.07","13138064991.36","n/a","n/a","Finance","Major Banks",
"FIX","Comfort Systems USA, Inc.","47.62","1769074523.64","n/a","1997","Capital Goods","Engineering & Construction",
"CMC","Commercial Metals Company","17.2","2023394463.6","n/a","n/a","Basic Industries","Steel/Iron Ore",
"CBU","Community Bank System, Inc.","60.15","3083168700","n/a","n/a","Finance","Major Banks",
"CYH","Community Health Systems, Inc.","3.74","434903708.36","n/a","2000","Health Care","Hospital/Nursing Management",
"CHCT","Community Healthcare Trust Incorporated","31.84","590116255.68","n/a","2015","Consumer Services","Real Estate Investment Trusts",
"CIG","Comp En De Mn Cemig ADS","3.84","5601609987.84","n/a","n/a","Public Utilities","Electric Utilities: Central",
"CBD","Companhia Brasileira de Distribuicao","25.25","6731964892.75","n/a","1997","Consumer Services","Food Chains",
"SBS","Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp","11.32","7737331717.08","n/a","2002","Public Utilities","Water Supply",
"ELP","Companhia Paranaense de Energia (COPEL)","9.44","2583306740","n/a","n/a","Public Utilities","Electric Utilities: Central",
"CCU","Compania Cervecerias Unidas, S.A.","27.45","5071426918.2","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)",
"CODI","Compass Diversified Holdings","14.62","875738000","n/a","2006","Consumer Durables","Home Furnishings",
"CMP","Compass Minerals International, Inc.","49.63","1680056446.53","n/a","2003","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)",
"CRK","Comstock Resources, Inc.","6.42","679692230.88","n/a","n/a","Energy","Oil & Gas Production",
"CAG","ConAgra Brands, Inc.","21.01","10203338125.86","n/a","n/a","Consumer Non-Durables","Packaged Foods",
"CXO","Concho Resources Inc.","118.55","23739660617.25","n/a","2007","Energy","Oil & Gas Production",
"CCM","Concord Medical Services Holdings Limited","3.35","145269373.2","n/a","2009","Health Care","Medical/Nursing Services",
"CNDT","Conduent Incorporated","12.84","2712978764.04","n/a","2016","Miscellaneous","Business Services",
"COP","ConocoPhillips","66.99","77121694077.12","n/a","n/a","Energy","Integrated oil Companies",
"CCR","CONSOL Coal Resources LP","17.95","494024890.1","n/a","2015","Energy","Coal Mining",
"ED","Consolidated Edison Inc","75.95","23656633643.3","n/a","n/a","Public Utilities","Power Generation",
"STZ","Constellation Brands Inc","166.8","31671433726.8","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)",
"CSTM","Constellium N.V.","8.25","1111220046.75","n/a","2013","Basic Industries","Metal Fabrications",
"TCS","Container Store (The)","6.95","339947275.15","n/a","2013","Consumer Services","Home Furnishings",
"CBPX","Continental Building Products, Inc.","24.95","919206278.25","n/a","2014","Capital Goods","Building Materials",
"CLR","Continental Resources, Inc.","47.26","17770532653.74","n/a","2007","Energy","Oil & Gas Production",
"VLRS","Controladora Vuela Compania de Aviacion, S.A.B. de C.V.","7.54","752126377.86","n/a","2013","Transportation","Air Freight/Delivery Services",
"CTRA","Contura Energy, Inc.","64.99","1246944867.81","n/a","n/a","Energy","Coal Mining",
"CTB","Cooper Tire & Rubber Company","34.11","1707934464.81","n/a","n/a","Consumer Durables","Automotive Aftermarket",
"CPS","Cooper-Standard Holdings Inc.","75.06","1334166655.14","n/a","n/a","Capital Goods","Auto Parts:O.E.M.",
"CTK","CooTek (Cayman) Inc.","11.55","738237122.7","n/a","2018","Technology","EDP Services",
"CPA","Copa Holdings, S.A.","97.56","4116577272.84","n/a","2005","Transportation","Air Freight/Delivery Services",
"CLB","Core Laboratories N.V.","68.08","3010547366.48","n/a","1995","Energy","Oilfield Services/Equipment",
"CXW","CoreCivic, Inc.","19.17","2275121076.93","n/a","n/a","Consumer Services","Real Estate Investment Trusts",
"CLGX","CoreLogic, Inc.","36.26","2921158648.38","n/a","n/a","Technology","EDP Services",
"CORR","CorEnergy Infrastructure Trust, Inc.","35.33","422168698.34","n/a","n/a","Consumer Services","Real Estate Investment Trusts",
"CPLG","CorePoint Lodging Inc.","12.07","720000484.9","n/a","2018","Consumer Services","Real Estate Investment Trusts",
"COR","CoreSite Realty Corporation","94.2","3457001431.8","n/a","2010","Consumer Services","Real Estate Investment Trusts",
"GLW","Corning Incorporated","30.36","24300116372.4","n/a","n/a","Basic Industries","Telecommunications Equipment",
"CAAP","Corporacion America Airports SA","6.98","1116955388.76","n/a","2018","Transportation","Aerospace",
"GYC","Corporate Asset Backed Corp CABCO","21.14","0","n/a","n/a","Finance","Finance: Consumer Services",
"OFC","Corporate Office Properties Trust","24.13","2626671536.08","n/a","n/a","Consumer Services","Real Estate Investment Trusts",
"CZZ","Cosan Limited","10.86","2657178232.32","n/a","n/a","Consumer Non-Durables","Specialty Foods",
"CMRE","Costamare Inc.","5.14","572753201.76","n/a","2010","Transportation","Marine Transportation",
"COT","Cott Corporation","15.05","2072791455.35","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)",
"COTY","Coty Inc.","7.31","5490358966.38","n/a","2013","Consumer Non-Durables","Package Goods/Cosmetics",
"CUZ","Cousins Properties Incorporated","8.61","3619512998.85","n/a","n/a","Consumer Services","Real Estate Investment Trusts",
"CVA","Covanta Holding Corporation","15.83","2074595916.83","n/a","n/a","Basic Industries","Electric Utilities: Central",
"CVIA","Covia Holdings Corporation","5.09","667739091.58","n/a","2018","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)",
"CPF","CPB Inc.","26.5","773069421.5","n/a","n/a","Finance","Major Banks",
"CPL","CPFL Energia S.A.","16.52","8407975801.96","n/a","2004","Public Utilities","Electric Utilities: Central",
"CR","Crane Co.","79.37","4718471495.35","n/a","n/a","Capital Goods","Metal Fabrications",
"BAP","Credicorp Ltd.","236.23","18841941030","n/a","n/a","Finance","Commercial Banks",
"CS","Credit Suisse Group","12.48","31853549183.04","n/a","n/a","Finance","Investment Bankers/Brokers/Service",
"CPG","Crescent Point Energy Corporation","3.08","1693566721","n/a","n/a","Energy","Oil & Gas Production",
"CEQP","Crestwood Equity Partners LP","32.47","2312518919.9","n/a","n/a","Consumer Services","Other Consumer Services",
"CRH","CRH PLC","29.07","23652858756.24","n/a","n/a","Capital Goods","Building Materials",
"CRT","Cross Timbers Royalty Trust","12.49","74940000","n/a","1992","Energy","Oil & Gas Production",
"CAPL","CrossAmerica Partners LP","17.04","586927685.52","n/a","2012","Energy","Oil Refining/Marketing",
"CCI","Crown Castle International Corporation","113.7","47168495255.4","n/a","n/a","Consumer Services","Real Estate Investment Trusts",
"CCK","Crown Holdings, Inc.","49.42","6681098053.14","n/a","n/a","Consumer Durables","Containers/Packaging",
"CRY","CryoLife, Inc.","27.97","1033981142.82","n/a","n/a","Health Care","Medical/Dental Instruments",
"CSS","CSS Industries, Inc.","8.56","75635304","n/a","n/a","Consumer Services","Consumer: Greeting Cards",
"CTS","CTS Corporation","28.36","938348539.48","n/a","n/a","Technology","Electrical Products",
"CUBE","CubeSmart","29.48","5492316592.84","n/a","n/a","Consumer Services","Real Estate Investment Trusts",
"CUB","Cubic Corporation","63.98","1991888764.18","n/a","n/a","Capital Goods","Industrial Machinery/Components",
"CFR","Cullen/Frost Bankers, Inc.","99.25","6346448550.5","n/a","n/a","Finance","Major Banks",
"CULP","Culp, Inc.","18.47","230726427.32","n/a","n/a","Basic Industries","Textiles",
"CMI","Cummins Inc.","146.84","23576821732.52","n/a","n/a","Energy","Industrial Machinery/Components",
"CURO","CURO Group Holdings Corp.","12.26","563873971.58","n/a","2017","Finance","Finance: Consumer Services",
"CW","Curtiss-Wright Corporation","112.06","4907130596.42","n/a","n/a","Technology","Industrial Machinery/Components",
"SRF","Cushing Energy Income Fund (The)","7.31","18092169.59","n/a","2012","n/a","n/a",
"SRV","Cushing MLP & Infrastructure Total Return Fund","9.77","65794130.54","n/a","n/a","n/a","n/a",
"SZC","Cushing Renaissance Fund (The)","16.22","126599419.46","n/a","2012","n/a","n/a",
"CWK","Cushman & Wakefield plc","16.18","3495642110.36","n/a","2018","Finance","Real Estate",
"CUBI","Customers Bancorp, Inc","20.03","620366536.07","n/a","n/a","Finance","Major Banks",
"CVI","CVR Energy Inc.","38.6","3880481121.4","n/a","2007","Energy","Integrated oil Companies",
"UAN","CVR Partners, LP","3.64","412350021.72","n/a","2011","Basic Industries","Agricultural Chemicals",
"CVRR","CVR Refining, LP","10.49","1548324000","n/a","2013","Energy","Integrated oil Companies",
"CVS","CVS Health Corporation","65.45","84639879786","n/a","n/a","Health Care","Medical/Nursing Services",
"CELP","Cypress Energy Partners, L.P.","7.95","94971018","n/a","2014","Energy","Oilfield Services/Equipment",
"DHI","D.R. Horton, Inc.","37.3","13933841823.9","n/a","n/a","Capital Goods","Homebuilding",
"DAN","Dana Incorporated","17.78","2572104477.32","n/a","n/a","Capital Goods","Auto Parts:O.E.M.",
"DHR","Danaher Corporation","106.33","74526984409.99","n/a","n/a","Capital Goods","Industrial Machinery/Components",
"DAC","Danaos Corporation","0.8433","179896512.9015","n/a","2006","Transportation","Marine Transportation",
"DQ","DAQO New Energy Corp.","34.54","444316031.94","n/a","2010","Technology","Semiconductors",
"DRI","Darden Restaurants, Inc.","106.43","13145071065.11","n/a","n/a","Consumer Services","Restaurants",
"DAR","Darling Ingredients Inc.","21","3457816488","n/a","n/a","Consumer Non-Durables","Packaged Foods",
"DVA","DaVita Inc.","57.09","9476940000","n/a","n/a","Health Care","Hospital/Nursing Management",
"DCP","DCP Midstream LP","33.24","4763867982.72","n/a","n/a","Public Utilities","Natural Gas Distribution",
"DF","Dean Foods Company","4.51","412216354.22","n/a","n/a","Consumer Non-Durables","Packaged Foods",
"DECK","Deckers Outdoor Corporation","125.36","3650760120.24","n/a","1993","Consumer Non-Durables","Shoe Manufacturing",
"DE","Deere & Company","161.5","51660724006","n/a","n/a","Capital Goods","Industrial Machinery/Components",
"DEX","Delaware Enhanced Global Dividend","9.3","117768104.1","n/a","2007","n/a","n/a",
"DDF","Delaware Investments Dividend & Income Fund, Inc.","12.36","95025645.24","n/a","1993","n/a","n/a",
"DKL","Delek Logistics Partners, L.P.","29.7","724536935.1","n/a","2012","Energy","Natural Gas Distribution",
"DK","Delek US Holdings, Inc.","31.34","2568263263.42","n/a","2017","Energy","Integrated oil Companies",
"DELL","Dell Technologies Inc.","45.91","32983332715.55","n/a","2018","Technology","Computer Manufacturing",
"DLPH","Delphi Technologies PLC","17.41","1540645075.83","n/a","2017","Capital Goods","Auto Parts:O.E.M.",
"DAL","Delta Air Lines, Inc.","47.69","32697155850.69","n/a","n/a","Transportation","Air Freight/Delivery Services",
"DLX","Deluxe Corporation","47.24","2106904000","n/a","n/a","Consumer Durables","Publishing",
"DNR","Denbury Resources Inc.","2.07","953141243.49","n/a","n/a","Energy","Oil & Gas Production",
"DESP","Despegar.com, Corp.","15","1037422740","n/a","2017","Consumer Services","Transportation Services",
"DKT","Deutsch Bk Contingent Cap Tr V","25.34","0","n/a","n/a","Finance","Major Banks",
"DB","Deutsche Bank AG","9.24","19079676000","n/a","n/a","Finance","Major Banks",
"DXB","Deutsche Bank AG","24.34","0","n/a","n/a","Finance","Major Banks",
"DVN","Devon Energy Corporation","27.25","12758450000","n/a","n/a","Energy","Oil & Gas Production",
"DHX","DHI Group, Inc.","2.06","108954333.18","n/a","2007","Miscellaneous","Business Services",
"DHT","DHT Holdings, Inc.","4.13","593037202.59","n/a","2005","Transportation","Marine Transportation",
"DEO","Diageo plc","142.49","86120742549.98","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)",
"DO","Diamond Offshore Drilling, Inc.","11.63","1598365584.26","n/a","1995","Energy","Oil & Gas Production",
"DRH","Diamondrock Hospitality Company","9.88","2054257938.72","n/a","2005","Consumer Services","Real Estate Investment Trusts",
"DSX","Diana Shipping inc.","3.22","334121210.22","n/a","2005","Transportation","Marine Transportation",
"DKS","Dick&#39;s Sporting Goods Inc","34.62","3403246605.72","n/a","2002","Consumer Services","Other Specialty Stores",
"DBD","Diebold Nixdorf Incorporated","4.26","324289373.16","n/a","n/a","Miscellaneous","Office Equipment/Supplies/Services",
"DLR","Digital Realty Trust, Inc.","104.17","21488398335.91","n/a","2004","Consumer Services","Real Estate Investment Trusts",
"DDS","Dillard&#39;s, Inc.","67.24","1784825284","n/a","n/a","Consumer Services","Department/Specialty Retail Stores",
"DDT","Dillard&#39;s, Inc.","26.4","0","n/a","n/a","Consumer Services","Department/Specialty Retail Stores",
"DIN","Dine Brands Global, Inc.","79.24","1403533270.16","n/a","n/a","Consumer Services","Restaurants",
"DPLO","Diplomat Pharmacy, Inc.","13.83","1029984782.91","n/a","2014","Health Care","Medical/Nursing Services",
"DFS","Discover Financial Services","66.73","22087630000","n/a","n/a","Finance","Finance: Consumer Services",
"DNI","Dividend and Income Fund","10.81","133516126.08","n/a","n/a","n/a","n/a",
"DLB","Dolby Laboratories","63.94","6518739778.72","n/a","2005","Miscellaneous","Multi-Sector Companies",
"DG","Dollar General Corporation","114.2","30021390600.2","n/a","2009","Consumer Services","Department/Specialty Retail Stores",
"D","Dominion Energy, Inc.","69.16","53700704967","n/a","n/a","Public Utilities","Electric Utilities: Central",
"DCUD","Dominion Energy, Inc.","47.12","0","n/a","2016","Public Utilities","Electric Utilities: Central",
"DRUA","Dominion Energy, Inc.","24.29","0","n/a","2016","Public Utilities","Electric Utilities: Central",
"DPZ","Domino&#39;s Pizza Inc","284.16","11819536596.48","n/a","2004","Consumer Non-Durables","Food Distributors",
"UFS","Domtar Corporation","45.34","2947150055.36","n/a","n/a","Basic Industries","Paper",
"DCI","Donaldson Company, Inc.","47.68","6097862142.72","n/a","n/a","Capital Goods","Pollution Control Equipment",
"DFIN","Donnelley Financial Solutions, Inc.","14.62","498542000","n/a","2016","Consumer Services","Other Consumer Services",
"LPG","Dorian LPG Ltd.","5.8","319967295","n/a","2014","Transportation","Marine Transportation",
"DSL","DoubleLine Income Solutions Fund","18.83","1908417506.03","n/a","2013","n/a","n/a",
"DBL","DoubleLine Opportunistic Credit Fund","19.42","288593376.34","n/a","2012","n/a","n/a",
"PLOW","Douglas Dynamics, Inc.","35.8","812695477.8","n/a","2010","Capital Goods","Construction/Ag Equipment/Trucks",
"DEI","Douglas Emmett, Inc.","36.77","6248667913.92","n/a","2006","Consumer Services","Real Estate Investment Trusts",
"DOV","Dover Corporation","79.48","11630520929.52","n/a","n/a","Technology","Industrial Machinery/Components",
"DDE","Dover Downs Gaming & Entertainment Inc","2.67","88866170.7","n/a","n/a","Consumer Services","Hotels/Resorts",
"DVD","Dover Motorsports, Inc.","1.99","72937673.03","n/a","1996","Consumer Services","Services-Misc. Amusement & Recreation",
"DWDP","DowDuPont Inc.","57.76","132515522812.16","n/a","2017","Basic Industries","Major Chemicals",
"RDY","Dr. Reddy&#39;s Laboratories Ltd","37.48","6223961070.28","n/a","n/a","Health Care","Major Pharmaceuticals",
"DRD","DRDGOLD Limited","2.01","139982381.76","n/a","n/a","Basic Industries","Precious Metals",
"DCF","Dreyfus Alcentra","8.31","124329017.94","n/a","2017","n/a","n/a",
"DHF","Dreyfus High Yield Strategies Fund","2.91","211579372.08","n/a","1998","n/a","n/a",
"DMB","Dreyfus Municipal Bond Infrastructure Fund, Inc.","12.5","229774762.5","n/a","2013","n/a","n/a",
"DSM","Dreyfus Strategic Municipal Bond Fund, Inc.","7.36","363359218.24","n/a","1989","n/a","n/a",
"LEO","Dreyfus Strategic Municipals, Inc.","7.6","471124235.6","n/a","1987","n/a","n/a",
"DRQ","Dril-Quip, Inc.","37.66","1347370896.06","n/a","1997","Energy","Metal Fabrications",
"DS","Drive Shack Inc.","4.53","303632781.12","n/a","n/a","Consumer Services","Real Estate Investment Trusts",
"DSW","DSW Inc.","26.78","2151755030.62","n/a","2005","Consumer Services","Clothing/Shoe/Accessory Stores",
"DTE","DTE Energy Company","114.13","20763102989.12","n/a","n/a","Public Utilities","Electric Utilities: Central",
"DTJ","DTE Energy Company","24.44","0","n/a","2016","Public Utilities","Electric Utilities: Central",
"DTQ","DTE Energy Company","24.48","0","n/a","n/a","Public Utilities","Electric Utilities: Central",
